epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,val_roc_auc,lr
1,0.7391632927788628,0.3333,0.0,0.6792387962341309,0.5,0.0,1.0,0.0001
2,0.7882617049747043,0.4444,0.0,0.735991358757019,0.5,0.0,0.0,5.05e-05
